"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","1月支払金額","2月繰越残高","新規サイン"
"2019/12/31","モザイクモール港北","家族","1回払い","530","0","530","530","0","*"
"2019/12/31","ﾏｸﾄﾞﾅﾙﾄﾞ","本人","1回払い","1080","0","1080","1080","0","*"
"2019/12/31","ﾕﾆｸﾛ ｼﾞ-ﾕ- ｵ","家族","1回払い","649","0","649","649","0","*"
"2019/12/31","ﾕﾆｸﾛ ｼﾞ-ﾕ- ｵ","家族","1回払い","319","0","319","319","0","*"
"2019/12/30","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","943","0","943","943","0","*"
"2019/12/29","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","家族","1回払い","2198","0","2198","2198","0","*"
"2019/12/27","ｶ)ｼﾞ-ﾕ-","家族","1回払い","869","0","869","869","0","*"
"2019/12/26","ｹﾝﾀﾂｷ-ﾌﾗｲﾄﾞﾁｷﾝ","本人","1回払い","1180","0","1180","1180","0","*"
"2019/12/26","ﾎﾟﾝﾊﾟﾄﾞｳﾙｾﾝﾀ-ｷﾀﾃ","本人","1回払い","658","0","658","658","0","*"
"2019/12/26","APPLE COM BILL","家族","1回払い","130","0","130","130","0","*"
"2019/12/26","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","899","0","899","899","0","*"
"2019/12/25","ﾀﾏﾌﾟﾗ-ｻﾞﾃﾗｽ","家族","1回払い","891","0","891","891","0","*"
"2019/12/24","(ｶ) ﾆｼﾏﾂﾔﾁｴ-ﾝ","家族","1回払い","209","0","209","209","0","*"
"2019/12/19","SUICA MOBILE PAYMENT利用国JPN","家族","1回払い","5000","0","5000","5000","0","*"
"","現地利用額　　　　　　５０００．０００変換レート　　　１．０００円","","","","","","","",""
"2019/12/19","ｹﾝﾀﾂｷ-ﾌﾗｲﾄﾞﾁｷﾝ","家族","1回払い","640","0","640","640","0","*"
"2019/12/18","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","本人","1回払い","585","0","585","585","0","*"
"2019/12/18","ﾕﾆｸﾛ ｼﾞ-ﾕ- ｵ","家族","1回払い","209","0","209","209","0","*"
"2019/12/18","ﾏｸﾄﾞﾅﾙﾄﾞ","家族","1回払い","150","0","150","150","0","*"
"2019/12/18","ﾌﾞﾛﾝｺﾋﾞﾘ- ｺｳﾎｸﾐﾅ","家族","1回払い","2328","0","2328","2328","0","*"
"2019/12/17","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","1932","0","1932","1932","0","*"
"2019/12/16","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","555","0","555","555","0","*"
"2019/12/14","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","家族","1回払い","2145","0","2145","2145","0","*"
"2019/12/14","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","1367","0","1367","1367","0","*"
"2019/12/13","ﾏｸﾄﾞﾅﾙﾄﾞ","本人","1回払い","990","0","990","990","0","*"
"2019/12/13","ﾏｸﾄﾞﾅﾙﾄﾞ","家族","1回払い","590","0","590","590","0","*"
"2019/12/13","イオンリテール","家族","1回払い","507","0","507","507","0","*"
"2019/12/12","SUICA MOBILE PAYMENT利用国JPN","本人","1回払い","5000","0","5000","5000","0","*"
"","現地利用額　　　　　　５０００．０００変換レート　　　１．０００円","","","","","","","",""
"2019/12/09","ｼﾞﾖｲﾅｽ","本人","1回払い","1078","0","1078","1078","0","*"
"2019/12/09","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","家族","1回払い","3339","0","3339","3339","0","*"
"2019/12/08","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","1925","0","1925","1925","0","*"
"2019/12/08","ニトリ","家族","1回払い","1017","0","1017","1017","0","*"
"2019/12/07","ﾌｲﾂﾄｹｱﾃﾞﾎﾟ ｻﾌｱ-ﾚ","家族","1回払い","1518","0","1518","1518","0","*"
"2019/12/06","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","379","0","379","379","0","*"
"2019/12/06","MYBﾅｶｶﾞﾜｴｷｷﾀ","家族","1回払い","1809","0","1809","1809","0","*"
"2019/12/05","横浜市営地下鉄センター北駅ＩＴ","家族","1回払い","1650","0","1650","1650","0","*"
"2019/12/05","ｺｳﾎｸﾄｳｷﾕｳ ｴｽｼ-","家族","1回払い","418","0","418","418","0","*"
"2019/12/04","イオンリテール","家族","1回払い","801","0","801","801","0","*"
"2019/12/04","ﾓﾌﾞ","本人","1回払い","6900","0","6900","6900","0","*"
"2019/12/04","チェッカ－タクシ－","本人","1回払い","7700","0","7700","7700","0","*"
"2019/12/03","ｱﾒﾘｶﾝｲ-ｸﾞﾙ ｵﾝﾗｲﾝ","家族","1回払い","9020","0","9020","9020","0","*"
"2019/12/01","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","1657","0","1657","1657","0","*"
"2019/11/30","ＡＳＡＨＩネット","本人","1回払い","770","0","770","770","0","*"
"2019/11/27","イオンリテール","家族","1回払い","1658","0","1658","1658","0","*"
