"利用日","利用店名・商品名","利用者","支払区分","利用金額","手数料","支払総額","当月支払金額","翌月以降繰越金額"
"2021/4/1","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","3409","0","3409","3409","0"
"2021/4/2","ﾍﾟｲﾍﾟｲ ﾌﾞｯｸｵﾌ","本人*","1回","510","0","510","510","0"
"2021/4/2","ﾍﾟｲﾍﾟｲ ｸﾘｴｲﾄｴｽﾃﾞｨｰ","本人*","1回","1005","0","1005","1005","0"
"2021/4/2","ﾍﾟｲﾍﾟｲ ｸﾗｽﾞｼ","本人*","1回","3542","0","3542","3542","0"
"2021/4/2","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1923","0","1923","1923","0"
"2021/4/3","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1056","0","1056","1056","0"
"2021/4/3","ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ","本人*","1回","3732","0","3732","3732","0"
"2021/4/4","ﾍﾟｲﾍﾟｲ ｶﾏｸﾗﾊﾟｽﾀ","本人*","1回","3553","0","3553","3553","0"
"2021/4/5","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","1233","0","1233","1233","0"
"2021/4/5","ﾍﾟｲﾍﾟｲ ｱｽﾞﾏﾔﾄｳﾌﾃﾝ","本人*","1回","190","0","190","190","0"
"2021/4/6","ﾍﾟｲﾍﾟｲ ｻﾝﾏﾙｸｶﾌｪ","本人*","1回","500","0","500","500","0"
"2021/4/6","ﾍﾟｲﾍﾟｲ ﾊﾆｰｽﾞ","本人*","1回","1980","0","1980","1980","0"
"2021/4/6","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","287","0","287","287","0"
"2021/4/7","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","104","0","104","104","0"
"2021/4/7","ﾍﾟｲﾍﾟｲ ｸﾘｴｲﾄｴｽﾃﾞｨｰ","本人*","1回","2114","0","2114","2114","0"
