date,info,totalPayment,processDB,category
2019/11/30,Adjustment for whole 2020,"646,998",HomeYB_Saving,Adjustment Up
2019/12/15,Withdraw Cash,"10,000",HomeYB_Saving,Transfer Out
2019/12/15,Withdraw Cash,"10,000",HomeCash,Transfer In
2019/12/30,First Balance,"569,456,889",MomVCB,Adjustment Up
2019/12/30,First Balance,"9,590,343",MomYB,Adjustment Up
2019/12/30,First Balance,"16,700",HomeUSD,Adjustment Up
2019/12/30,First Balance,"56,000",HomeCash,Adjustment Up
2019/12/30,First Balance,6241731,HomeYB_Saving,Adjustment Up
2019/12/30,First Balance,3975,Paypay,Adjustment Down
2019/12/30,First Balance,213136,MeoYB,Adjustment Up
2019/12/30,First Balance,8700,MeoCash,Adjustment Up
2019/12/30,First Balance,"40,000",VitYB,Adjustment Up
2019/12/30,Unclear Cash Payment,"10,000",HomeCash,Unknown
2020/2/8,Vietnam Food Online,"11,860",HomeYB_Saving,Groceries
2020/2/8,Withdraw Cash,"300,000",HomeYB_Saving,Transfer Out
2020/2/8,Withdraw Cash,"300,000",HomeCash,Transfer In
2020/2/23,Wallet,"1,519,780",MomVCB,Transfer Out
2020/2/23,Wallet,"6,391",MomYB,Transfer In
2020/2/23,Wallet,"6,391",MeoYB,Fashion
2020/2/26,Amazon,"14,531",HomeYB_Main,Credit Payment
2020/2/26,Amazon,760,MeoYB,Credit Payment
2020/2/27,Yahoo,"105,102",HomeYB_Main,Credit Payment
2020/2/27,Rakuten,"102,386",HomeYB_Main,Credit Payment
2020/2/27,Rakuten,"10,000",MeoYB,Credit Payment
2020/2/28,Bosch Travel claim,"5,266",MeoYB,Return
2020/2/28,Salary JP 2020.02 (Bosch),"544,411",HomeYB_Main,Salary
2020/2/28,Salary RBVH??,200000,MomVCB,Transfer In
2020/2/28,Salary RBVH??,1000,MomYB,Transfer Out
2020/2/28,Salary RBVH??,"1,000",MeoYB,Other Income
2020/2/29,Charge Paypay,"10,000",HomeYB_Main,Transfer Out
2020/2/29,Charge Paypay,"3,000",HomeYB_Main,Transfer Out
2020/2/29,Unclear Cash Payment,"300,000",HomeCash,Unknown
2020/3/2,Vinh Vien exchange 200 man,"1,950,000",MomYB,Transfer In
2020/3/2,Vinh Vien exchange 200 man (2),50000,MomYB,Transfer In
2020/3/2,Vinh Vien exchange 200 man,"421,604,200",MomVCB,Transfer Out
2020/3/2,To Duck's directly,"50,000",HomeYB_Main,Transfer Out
2020/3/2,Withdraw Cash,50000,HomeCash,Transfer In
2020/3/7,Charge Paypay,"3,000",HomeYB_Main,Transfer Out
2020/3/7,Charge Paypay (bank),"3,000",Paypay,Transfer In
2020/3/7,"Electric, Gas","1,313",Paypay,Utilities
2020/3/7,"Electric, Gas","3,363",Paypay,Utilities
2020/3/9,Interest,"296,876",MomVCB,Bonus
2020/3/15,Vietnam Food Online,"11,060",HomeYB_Saving,Groceries
2020/3/24,Fee Card,"166,409",MomVCB,Transfer Out
2020/3/24,Fee Card,804,MomYB,Transfer In
2020/3/24,Fee Card,804,HomeYB_Main,Utilities
2020/3/25,House rental 2020.03,"23,330",HomeYB_Main,Housing
2020/3/25,Salary JP 2020.03,679250,HomeYB_Main,Salary
2020/3/25,Meo 2020.03,"30,000",MeoYB,Other Income
2020/3/25,Meo 2020.03,"30,000",HomeYB_Main,Allowance
2020/3/25,Fitcare,521,Paypay,Groceries
