,date,where,whose,totalPayment,info,category,type,cycle,note
0,2020-01-29,ﾜ-ﾙﾄﾞｵﾝﾗｲﾝｽﾄｱ,Vit,5748.0,World Online store,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
1,2020-01-24,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,家族,983.0,Northport mall,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
2,2020-01-23,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,家族,605.0,Northport mall,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
3,2020-01-22,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,家族,940.0,Northport mall,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
4,2020-01-22,イオンリテール,家族,2637.0,AEON,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
5,2020-01-21,ﾀﾏﾌﾟﾗ-ｻﾞﾃﾗｽ,家族,530.0,TamaPlaza Terrace Mall,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
6,2020-01-21,ﾀﾏﾌﾟﾗ-ｻﾞﾃﾗｽ,家族,237.0,TamaPlaza Terrace Mall,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
7,2020-01-13,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,家族,198.0,Northport mall,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
8,2020-01-13,イオンリテール,家族,2285.0,AEON,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
9,2020-01-12,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,本人,2710.0,Northport mall,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
10,2020-01-12,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,家族,5359.0,Northport mall,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
11,2020-01-09,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,家族,1190.0,Northport mall,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
12,2020-01-09,ｻﾌﾞｳｴｲ ﾖｺﾊﾏｾﾝﾀｰｷ,家族,693.0,No_info,No_catefory,Rakuten,202002,Confirmed new transaction data
13,2020-01-07,ﾀﾏﾌﾟﾗ-ｻﾞﾃﾗｽ,家族,649.0,TamaPlaza Terrace Mall,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
14,2020-01-07,ﾀﾏﾌﾟﾗ-ｻﾞﾃﾗｽ,家族,2200.0,TamaPlaza Terrace Mall,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
15,2020-01-06,ﾀﾏﾌﾟﾗ-ｻﾞﾃﾗｽ,家族,676.0,TamaPlaza Terrace Mall,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
16,2020-01-05,イオンリテール,家族,4556.0,AEON,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
17,2020-01-04,イオンリテール,家族,1978.0,AEON,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
18,2020-01-03,ﾀﾏﾌﾟﾗ-ｻﾞﾃﾗｽ,家族,891.0,TamaPlaza Terrace Mall,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
19,2020-01-02,ﾏｲﾊﾞｽｹﾂﾄ ｶﾜｻｷｲｹﾌ,家族,336.0,No_info,No_catefory,Rakuten,202002,Confirmed new transaction data
20,2020-01-02,都筑阪急,家族,1728.0,Hankyu Store,Need_Confirmed,Rakuten,202002,Manual confirmed unclear transaction
