,date,where,whose,totalPayment,info,category,note
0,2021-02-26,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,家族,1450,Northport mall,Need Confirmed,Need correction due to strange category
1,2021-02-26,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,家族,590,Northport mall,Need Confirmed,Need correction due to strange category
2,2021-02-23,ﾗ-ﾒﾝｶｲﾘｷﾔ ｾﾝﾀ-ﾐﾅ,本人,1793,No info,No catefory,New Data
3,2021-02-23,ユニクロジーユーオンライン,家族,429,Uniqlo Online,Need Confirmed,Need correction due to strange category
4,2021-02-21,ユニクロジーユーオンライン,家族,1309,Uniqlo Online,Need Confirmed,Need correction due to strange category
5,2021-02-21,ユニクロジーユーオンライン,家族,429,Uniqlo Online,Need Confirmed,Need correction due to strange category
6,2021-02-20,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,家族,959,Northport mall,Need Confirmed,Need correction due to strange category
7,2021-02-20,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,家族,1300,Northport mall,Need Confirmed,Need correction due to strange category
8,2021-02-14,SPOTIFY利用国SWE,本人,980,No info,No catefory,New Data
9,2021-02-11,モザイクモール港北,家族,490,Mosaic Mall,Need Confirmed,Need correction due to strange category
10,2021-02-06,イオンリテール,家族,518,AEON,Need Confirmed,Need correction due to strange category
11,2021-01-29,イオンリテール,家族,3636,AEON,Need Confirmed,Need correction due to strange category
