PaymentAt,Information,Category,Whose
ﾏﾙｴﾂ ｺｳﾎｸﾆﾕｰﾀｳﾝﾅ,Maruetsu,Groceries,Home
ｺｳﾎｸﾄｳｷﾕｳ ｴｽｼ-,Kohoku Tokkyu,Groceries,Home
都筑阪急,Hankyu Store,Need Confirmed,Not sure
ﾄﾞﾝ ｷﾎ-ﾃ ｾﾝﾀ-ｷﾀｴ,Donkihote,Groceries,Home
ﾎﾟﾝﾊﾟﾄﾞｳﾙｾﾝﾀ-ｷﾀﾃ,Pombador,Groceries,Home
ﾌｱﾐﾘ-ﾏ-ﾄﾅｶｶﾞﾜｴｷﾏ,Family mart,Groceries,Home
ﾄｳｷﾕｳｽﾄｱ,Tokyu Store,Need Confirmed,Not sure
セブン－イレブン,Seven Eleven,Groceries,Home
ﾃﾞｲﾘ-ﾔﾏｻﾞｷ,Daily Yamazaki,Groceries,Home
ﾌｼﾞｶﾞ-ﾃﾞﾝﾉ-ｽﾎﾟ-ﾄ,Fuji Garden Northport,Groceries,Home
ﾎﾟﾝﾊﾟﾄﾞｳﾙｾﾝﾀ-ｷﾀﾃﾝ,Pombador,Groceries,Home
ﾌｲﾂﾄｹｱﾃﾞﾎﾟ ﾅｶｶﾞﾜ,Fit care,Household Supplies,Home
ｳｲﾝｸﾞ ｼﾝﾊﾞｼ,Wing Shinbashi (Food),Groceries,Home
ﾌｼﾞｻﾜﾏ-ｹﾂﾄ,Fujisawa Market,Groceries,Home
ｲｼﾀﾞﾔｸｳｺｳﾃﾝ,Hokkaido Shop,Groceries,Home
ｺｰﾌﾟｻﾂﾎﾟﾛ,Corp Sapporo,Groceries,Home
ｶﾒﾔﾏﾝﾈﾝﾄﾞｳ ｾﾝﾀ-ｷ,Cookie shop,Groceries,Home
ｿｺﾞｳﾋﾛｼﾏﾃﾝ,SOGO Hiroshima,Groceries,Home
ｱﾂｾ,"Hiroshima Asse (Cake, Sourvenie Shop)",Groceries,Home
ｳｵﾝﾂ,Hiroshima (WANTS),Groceries,Home
ローソン,Hiroshima (Lawson),Groceries,Home
ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ,Maruetsu,Groceries,Home
ﾍﾟｲﾍﾟｲ ｼｮｸｾｲｶﾂﾗﾌﾞﾗﾌﾞ,Paypay Lopia,Groceries,Home
ﾍﾟｲﾍﾟｲ ｵｰｹｰ,Paypay OK,Groceries,Home
ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ,Paypay Big Yosun,Groceries,Home
MYBﾅｶｶﾞﾜｴｷｷﾀ,My Basket Nakagawa Ekikita,Groceries,Home
ﾍﾟｲﾍﾟｲ ｿｳﾃﾂﾛｰｾﾞﾝ,Paypay Sotetsu Rosen (Supermarket),Groceries,Home
ﾍﾟｲﾍﾟｲ ﾄｳｷｭｳｽﾄｱ,Paypay Tokyu Store,Need Confirmed,Not sure
ﾍﾟｲﾍﾟｲ ﾊﾝｷｭｳﾊﾝｼﾝﾋｬｯｶ,Paypay Hankyu Hanshin Food (Near Mosaic Food Court),Groceries,Home
ﾍﾟｲﾍﾟｲ ﾌｧﾐﾘｰﾏｰﾄ,Paypay Family Mart,Groceries,Home
ﾍﾟｲﾍﾟｲ ﾎﾟﾝﾊﾟﾄﾞｳﾙ,Paypay Ponpadour,Groceries,Home
ﾏｲﾊﾞｽｹﾂﾄﾅｶｶﾞﾜｴｷ,My Basket Nakagawa,Groceries,Home
ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶｶ,Maruetsu,Groceries,Home
ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ,Paypay Junberry Bakery Nakagawa,Groceries,Home
ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ,Paypay Maruetsu,Groceries,Home
ﾍﾟｲﾍﾟｲ ﾊﾝｷｭｳﾊﾝｼﾝ,Paypay Hankyu Hanshin,Groceries,Home
楽天ＳＰ　丸高名産店,Marutaka (Sourvenir shop in Atami),Groceries,Home
ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ,Paypay Junebakery,Groceries,Home
ﾒｶﾞﾄﾞﾝ･ｷﾎ-ﾃｱｵﾊﾞﾀ,Mega Donkihote Aobadai,Groceries,Home
ﾍﾟｲﾍﾟｲ ｾﾌﾞﾝｲﾚﾌﾞﾝ,Paypay Seven Eleven,Groceries,Home
ﾍﾟｲﾍﾟｲ ﾁｭﾝ ﾀﾑ,Paypay Vietshop Yokohama,Groceries,Home
ﾔﾌ-ｶﾝﾀﾝｹｯｻｲ,Yahoo,Need Confirmed,Not sure
ﾓｻﾞｲｸﾓ-ﾙｺｳﾎｸ,Mosaic Mall,Need Confirmed,Not sure
ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Northport mall,Need Confirmed,Not sure
ユニクロ,Uniqlo,Need Confirmed,Not sure
AMAZON.CO.JP,Amazon,Need Confirmed,Not sure
ﾀﾏﾌﾟﾗ-ｻﾞﾃﾗｽ,TamaPlaza Terrace Mall,Need Confirmed,Not sure
ﾄｳｷﾕｳﾋﾔﾂｶﾃﾝ,Tokyuu Mall,Need Confirmed,Not sure
BSBﾉ-ｽﾎﾟ-ﾄ.ﾓ-ﾙ,Northport mall,Need Confirmed,Not sure
イオンリテール,AEON,Need Confirmed,Not sure
ﾊﾂｸﾄﾞﾗﾂｸﾞ ﾄﾂｶﾃﾝ,HAC Totsuka,Household Supplies,Home
ﾑｼﾞﾙｼﾘﾖｳﾋﾝ ﾈ,Muji,Need Confirmed,Not sure
ユーネクストサービス　利用料,U-NEXT,Personal,Meo
ｴ-ﾋﾞ-ｼ-ﾏ-ﾄﾄﾞﾂﾄﾈﾂ,ABC Mart,Need Confirmed,Not sure
ｶ)ｼﾞ-ﾕ-,GU,Need Confirmed,Not sure
ﾕﾆｸﾛ,Uniqlo,Need Confirmed,Not sure
ﾕﾆｸﾛ ｼﾞ-ﾕ- ｵ,Uniqlo,Need Confirmed,Not sure
ｲｲﾅｱﾝﾄﾞｾﾞｽﾄｺｳﾎｸﾃ,Shoping town ITI building - Center Kita,Need Confirmed,Not sure
ｸﾘｴｲﾄ,Create,Household Supplies,Home
ｱﾃﾞｨﾀﾞｽ ｵﾝﾗｲﾝ ｼｮ,Shop Adidas,Need Confirmed,Not sure
ｸﾛﾂｸｽｵﾝﾗｲﾝｼﾖﾂﾌﾟ,Shop CROCS,Need Confirmed,Not sure
スポーツデポ,Sport DEPO,Need Confirmed,Not sure
ｷﾞﾔﾂﾌﾟｼﾞﾔﾊﾟﾝ ｵﾝﾗ,GAP,Need Confirmed,Not sure
ａｄｉｄａｓＯｎｌｉｎｅＳｈｏ,Shop Adidas,Need Confirmed,Not sure
広島ロフト,Hiroshima Golf,Need Confirmed,Not sure
ルイール　コン美ニエンスショッ,Rakuten shop,Need Confirmed,Not sure
ベルコスメ（美容・コスメ・香水,Rakuten shop,Need Confirmed,Not sure
ＬＯＣＯＭＡＬＬ（ロコンド公式,Rakuten shop,Need Confirmed,Not sure
ＳＫ‐ＩＩ　公式ショップ楽天市,Rakuten shop,Need Confirmed,Not sure
ﾜ-ﾙﾄﾞｵﾝﾗｲﾝｽﾄｱ,World Online store,Need Confirmed,Vit
ﾎﾝﾔｸｶﾞｲｼﾔJOHO,JOHO translation,Other Expense,Home
ﾙﾐﾈｴｽﾄ,Lumine Shinjuku,Need Confirmed,Not sure
ﾍﾟｲﾍﾟｲ ﾕﾆｸﾛ,Paypay Uniqlo,Need Confirmed,Not sure
モザイクモール港北,Mosaic Mall,Need Confirmed,Not sure
ｺ-ｾ-ﾏｲﾊﾀﾞｵﾝﾗｲﾝｼﾖ,Maison Kose,Personal,Vit
ﾊﾂｸﾄﾞﾗﾂｸﾞ ｻｳｽｳﾂﾄ,HAC,Household Supplies,Home
コナカ港北ノースポートモール店,KONAKA Suit,Personal,Meo
