PaymentAt,Information,Category
ﾏﾙｴﾂ ｺｳﾎｸﾆﾕｰﾀｳﾝﾅ,Maruetsu,Groceries
ｺｳﾎｸﾄｳｷﾕｳ ｴｽｼ-,Kohoku Tokkyu,Groceries
都筑阪急,Hankyu Store,Groceries
ﾄﾞﾝ ｷﾎ-ﾃ ｾﾝﾀ-ｷﾀｴ,Donkihote,Groceries
ﾎﾟﾝﾊﾟﾄﾞｳﾙｾﾝﾀ-ｷﾀﾃ,Pombador,Groceries
ﾌｱﾐﾘ-ﾏ-ﾄﾅｶｶﾞﾜｴｷﾏ,Family mart,Groceries
ﾄｳｷﾕｳｽﾄｱ,Tokyu Store,Groceries
セブン－イレブン,Seven Eleven,Groceries
ﾃﾞｲﾘ-ﾔﾏｻﾞｷ,Daily Yamazaki,Groceries
ﾌｼﾞｶﾞ-ﾃﾞﾝﾉ-ｽﾎﾟ-ﾄ,Fuji Garden Northport,Groceries
ﾎﾟﾝﾊﾟﾄﾞｳﾙｾﾝﾀ-ｷﾀﾃﾝ,Pombador,Groceries
ﾌｲﾂﾄｹｱﾃﾞﾎﾟ ﾅｶｶﾞﾜ,Fit care ,Groceries
ｳｲﾝｸﾞ ｼﾝﾊﾞｼ,Wing Shinbashi (Food),Groceries
ﾌｼﾞｻﾜﾏ-ｹﾂﾄ,Fujisawa Market,Groceries
ｲｼﾀﾞﾔｸｳｺｳﾃﾝ,Hokkaido Shop,Groceries
ｺｰﾌﾟｻﾂﾎﾟﾛ,Corp Sapporo,Groceries
ｶﾒﾔﾏﾝﾈﾝﾄﾞｳ ｾﾝﾀ-ｷ,Cookie shop,Groceries
ｿｺﾞｳﾋﾛｼﾏﾃﾝ,SOGO Hiroshima,Groceries
ｱﾂｾ,"Hiroshima Asse (Cake, Sourvenie Shop)",Groceries
ｳｵﾝﾂ,Hiroshima (WANTS),Groceries
ローソン,Hiroshima (Lawson),Groceries
ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ,Maruetsu,Groceries
ﾍﾟｲﾍﾟｲ ｼｮｸｾｲｶﾂﾗﾌﾞﾗﾌﾞ,Paypay Lopia,Groceries
ﾍﾟｲﾍﾟｲ ｵｰｹｰ,Paypay OK,Groceries
